time,open,high,low,close,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Rolling POC,Volume,Volume MA
1637343000,187.3425,187.3425,186.3705,186.56175,NaN,NaN,NaN,NaN,NaN,NaN,38000,109280
1637343900,186.3905,186.4105,185.9335,186.256,NaN,NaN,NaN,NaN,NaN,NaN,49680,109676
1637344800,186.175,186.34,185.91,185.91,NaN,NaN,NaN,NaN,NaN,NaN,34000,109176
1637345700,185.9495,185.9495,184.198,184.3445,NaN,NaN,NaN,NaN,NaN,NaN,66000,109901
1637346600,184.4885,185.189,184.4755,185.189,NaN,NaN,NaN,NaN,NaN,NaN,56000,108456
1637347500,185.275,185.677,185.1565,185.6505,NaN,NaN,NaN,NaN,NaN,NaN,62000,106932
1637348400,185.5675,185.647,185.277,185.647,NaN,NaN,NaN,NaN,NaN,NaN,30000,99870
1637349300,185.7385,185.935,185.627,185.7985,NaN,NaN,NaN,NaN,NaN,NaN,24000,80901
1637350200,185.822,185.822,185.1305,185.498,NaN,NaN,NaN,NaN,NaN,NaN,54000,65446
1637351100,185.3565,185.3565,184.9725,185.191,NaN,NaN,NaN,NaN,NaN,NaN,46000,60898
1637352000,185.0695,185.0695,184.717,184.7405,NaN,NaN,NaN,NaN,NaN,NaN,62000,55598
1637352900,184.7455,184.804,184.3235,184.328,NaN,NaN,NaN,NaN,NaN,NaN,72000,54100
1637353800,184.304,184.4765,183.901,184.375,NaN,NaN,NaN,NaN,NaN,NaN,111640,56282
1637354700,184.334,184.4975,183.8255,183.8405,NaN,NaN,NaN,NaN,NaN,NaN,206320,64198
1637591400,184.0975,185.601,184.0975,184.308,NaN,NaN,NaN,NaN,NaN,NaN,174360,68620
1637592300,184.061,184.832,183.5,183.5,NaN,NaN,NaN,NaN,NaN,NaN,41420,66202
1637593200,183.575,183.678,182.77,183.288,NaN,NaN,NaN,NaN,NaN,NaN,124080,70226
1637594100,182.88625,182.88625,180.77125,180.77125,NaN,NaN,NaN,NaN,NaN,NaN,173020,74373
1637595000,180.824,181.7,180.824,181.245,NaN,NaN,NaN,NaN,NaN,NaN,112020,77727
1637595900,181.1725,181.1725,179.953,180.127,NaN,NaN,NaN,NaN,NaN,NaN,129280,83291
1637596800,180.0375,180.7,179.8515,180.4175,NaN,NaN,NaN,NaN,NaN,NaN,124000,87591
1637597700,180.7,180.8,180.226,180.317,NaN,NaN,NaN,NaN,NaN,NaN,119220,91068
1637598600,180.4045,180.965,180.267,180.338,NaN,NaN,NaN,NaN,NaN,NaN,75240,93130
1637599500,180.397,180.515,179.0005,179.4905,NaN,NaN,NaN,NaN,NaN,NaN,116700,95665
